no,id,chk1,chk2,chk3,chk4,chk5,chk6,chk7,chk8
0,1.1.1,,,,,,,,
1,1.1.2,,,,,,,,
2,1.1.3,,,,,,,,
3,1.1.4,,,,,,,,
4,1.1.5,"가상자산 거래 서비스를 안전하게 제공/관리하기 위하여 취급업소의 주요 자산분류 및  작업에 대한 보안요구사항이 정책, 매뉴얼, 지침 등에 포함되어 있는가?",핫/콜드월렛 관련 주요 작업 지침 및 절차는 비밀로 관리하고 업무상 열람이 필요한 인원으로 배포를 제한하고 있는가?,,,,,,
5,1.1.6,"가상자산 거래 서비스의 안전성 확보 및 이용자 보호를 위해 정보기술(IT)부문과 정보보호에 필요한 예산과 인력을 지원하고 있는가?
<br/> * 권고
<br/> - 정보보호 예산을 정보기술(IT)부문 예산의 100분의 7이상으로 편성
<br/> - 정보기술(IT)부문 인력은 총 임직원 수의 100분의 5이상, 정보보호 인력은 정보기술(IT)부문 인력의 100분의 5이상 확보",,,,,,,
6,1.2.1,"가상자산과 관련한 자산을 식별하여 목록으로 관리하고, 최소한 필요한 인원에게만 제공하고 있는가?
<br/> - 주요자산 예시 : 개인키, 패스프레이즈, 월렛(핫, 콜드), 월렛금고, 중요 통제구역(월렛 작업공간) CCTV, 출입통제시스템, 월렛서버 및 관련 어플리케이션, 가상자산 노드서버, 가상 인프라(스토리지 포함), 콜드/핫 월렛용 단말기(노트북, PC), 자금세탁방지(AML) 관련 시스템 등",,,,,,,
7,1.2.2,,,,,,,,
8,1.2.3,위험평가 항목에서 경영진의 승인을 받은 항목에는 가상자산 취급업소에서 관리하는 가상자산의 콜드웰렛과 핫 월렛의 보유액 비율을 포함하고 있는가?,"가상자산 거래 서비스에서 발생할 수 있는 위험을 빠짐없이 식별·평가하고 있는가?
<br/> - 예. CEO 사망, 내부유출, 부정거래, 자연재해, 키 분실, 월렛서버 탈취 등","가상자산의 특성상 가상자산 노드서버가 공인IP 사용, DMZ 구간에 위치해야 하는 등 운영상 제약이 있는 경우, 그에 따른 위험이 식별되어 있는가?",위험식별 내용에는 가상자산별 블록체인에서 멀티시그를 제공하지 않는 경우가 포함되어 있는가?,,,,
9,1.2.4,"가상자산별 블록체인에서 멀티시그를 제공하지 않는 경우, MFA(Multi Factor Authentication), 키분할, 자체 구축한 멀티시그 방식 등 이를 대체하기 위한 안전장치가 보호대책에 포함되어 있는가?",,,,,,,
10,1.3.1,,,,,,,,
11,1.3.2,,,,,,,,
12,1.3.3,,,,,,,,
